chrom	txStart	cdsStart
chr22	10940596	10961529
chr22	11897405	11956534
chr22	15528158	15528158
chr22	15690025	15690077
chr22	15700385	15703354
chr22	15740892	15778287
chr22	15784953	15827434
chr22	15805697	15820884
chr22	16590750	16590876
chr22	16601910	16648830
chr22	16653707	16675540
chr22	16746868	16748438
chr22	16783479	16783618
chr22	16783479	16783618
chr22	16783479	16783618
chr22	16783479	16783618
chr22	16783479	16783618
chr22	16827473	16829335
chr22	16961935	16962732
chr22	16961935	16962732
chr22	16961935	17008222
chr22	17036569	17060070
chr22	17036569	17060070
chr22	17036569	17060070
chr22	17084999	17085091
chr22	17084999	17085091
chr22	17116296	17119390
chr22	17116296	17119390
chr22	17121594	17132104
chr22	17137519	17138020
chr22	17137519	17138020
chr22	17159388	17165445
chr22	17159388	17165445
chr22	17178789	17181482
chr22	17178789	17181482
chr22	17178789	17181482
chr22	17178789	17181482
chr22	17178789	17181482
chr22	17178789	17181482
chr22	17256858	17266733
chr22	17359948	17499493
chr22	17369459	17369783
chr22	17563497	17579944
chr22	17563497	17579944
chr22	17580154	17580313
chr22	17592135	17592673
chr22	17592135	17592673
chr22	17592135	17592673
chr22	17638583	17655711
chr22	17638583	17638693
chr22	17638583	17638693
chr22	17638756	17702272
chr22	17638756	17655711
chr22	17638756	17655711
chr22	17638756	17655711
chr22	17638756	17702272
chr22	17638756	17655711
chr22	17638756	17702272
chr22	17638756	17655711
chr22	17655661	17730855
chr22	17655661	17730855
chr22	17706780	17726916
chr22	17734137	17735579
chr22	17734137	17735579
chr22	17734139	17735579
chr22	17734139	17735579
chr22	17734139	17735579
chr22	17734139	17735579
chr22	17734139	17735579
chr22	17764179	17764259
chr22	17777289	17779481
chr22	17787648	17790731
chr22	17834334	17834449
chr22	17860154	17864653
chr22	17980867	17980961
chr22	18029384	18037968
chr22	18077989	18078376
chr22	18077989	18078376
chr22	18077989	18078376
chr22	18110808	18121673
chr22	18110808	18110865
chr22	18150169	18157663
chr22	18178025	18205909
chr22	18361817	18386556
chr22	18361817	18386556
chr22	18421383	18500594
chr22	18422243	18500594
chr22	18516343	18516500
chr22	18527801	18527980
chr22	18533863	18548828
chr22	18605814	18606514
chr22	18733934	18757905
chr22	18733934	18757905
chr22	18773688	18791961
chr22	18846285	18861064
chr22	18850117	18861064
chr22	18865041	18894431
chr22	18906319	18906374
chr22	18912780	18913174
chr22	18912780	18913174
chr22	18970497	19031242
chr22	18970497	18994629
chr22	18970497	18994629
chr22	19017833	19020248
chr22	19022623	19023550
chr22	19036285	19038864
chr22	19036285	19038864
chr22	19036285	19038864
chr22	19036285	19038864
chr22	19036285	19122412
chr22	19046161	19048375
chr22	19130278	19134195
chr22	19130278	19144651
chr22	19131307	19131399
chr22	19146992	19148990
chr22	19171705	19172832
chr22	19175580	19176129
chr22	19175580	19176129
chr22	19175580	19176129
chr22	19175580	19178736
chr22	19179472	19180218
chr22	19179472	19180218
chr22	19330697	19331439
chr22	19432544	19432554
chr22	19432544	19433343
chr22	19440885	19444264
chr22	19440885	19441643
chr22	19449910	19450669
chr22	19449910	19450669
chr22	19449910	19450739
chr22	19479465	19479556
chr22	19479825	19479968
chr22	19479825	19479968
chr22	19479919	19479968
chr22	19479919	19520608
chr22	19523023	19523598
chr22	19523026	19523598
chr22	19523026	19523598
chr22	19523026	19523598
chr22	19566129	19566839
chr22	19714502	19714588
chr22	19717219	19724774
chr22	19718442	19718737
chr22	19718468	19724774
chr22	19723538	19723569
chr22	19756702	19759643
chr22	19756702	19759643
chr22	19756702	19759643
chr22	19760777	19760843
chr22	19783222	19788708
chr22	19846145	19851166
chr22	19875521	19877104
chr22	19875521	19877104
chr22	19875521	19877104
chr22	19875521	19877104
chr22	19875521	19941818
chr22	19893907	19895132
chr22	19893907	19895132
chr22	19941771	19962526
chr22	19941771	19962526
chr22	19950901	19962526
chr22	19951517	19962526
chr22	19962552	19962676
chr22	19963752	19963834
chr22	19969895	19971227
chr22	20017022	20036798
chr22	20017022	20052498
chr22	20017022	20036798
chr22	20017022	20036798
chr22	20021107	20067164
chr22	20021109	20036798
chr22	20021109	20036798
chr22	20021109	20036798
chr22	20021109	20052498
chr22	20021109	20052498
chr22	20021109	20036798
chr22	20021109	20036798
chr22	20021109	20036798
chr22	20021109	20036915
chr22	20021109	20052498
chr22	20021109	20052498
chr22	20021109	20036915
chr22	20021109	20036915
chr22	20021109	20036915
chr22	20021109	20036915
chr22	20021109	20036915
chr22	20021109	20052498
chr22	20021109	20036798
chr22	20021109	20052498
chr22	20021109	20052498
chr22	20021109	20036798
chr22	20021109	20036798
chr22	20021109	20036798
chr22	20021109	20052498
chr22	20021109	20036915
chr22	20021109	20036915
chr22	20021109	20036798
chr22	20021109	20052498
chr22	20021109	20052498
chr22	20021109	20052498
chr22	20021109	20067164
chr22	20021109	20067164
chr22	20021109	20067164
chr22	20021109	20067164
chr22	20033138	20033220
chr22	20080240	20085963
chr22	20080240	20085963
chr22	20085745	20085833
chr22	20086057	20086142
chr22	20111874	20112562
chr22	20111874	20112773
chr22	20111874	20112562
chr22	20111874	20112562
chr22	20114685	20114751
chr22	20116103	20116184
chr22	20117504	20117649
chr22	20117504	20117649
chr22	20117744	20119147
chr22	20126401	20126526
chr22	20131803	20131947
chr22	20131803	20131947
chr22	20148415	20148613
chr22	20198728	20204918
chr22	20206331	20208537
chr22	20241414	20241710
chr22	20249133	20249211
chr22	20314237	20314674
chr22	20338029	20352496
chr22	20338912	20352496
chr22	20394150	20400724
chr22	20394150	20394628
chr22	20394150	20394628
chr22	20394150	20394628
chr22	20394150	20408455
chr22	20424583	20425374
chr22	20424583	20425374
chr22	20441518	20442072
chr22	20441518	20495795
chr22	20507609	20537126
chr22	20507609	20507678
chr22	20507609	20507678
chr22	20507609	20507678
